Season,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Height,Weight
2020,57,Shavon Shields,BASK,26,25.4,9.5,3.6,8.1,.448,1.1,3.1,.346,1.2,1.3,.857,0.8,2.6,3.4,1.0,0.4,0.2,1.0,1.5,6-7,225
2020,63,Tarik Black,MAC,11,19.7,9.1,3.1,5.0,.618,0.0,0.0,.000,2.9,4.2,.696,1.8,3.0,4.8,1.0,0.8,0.7,2.1,3.3,6-9,250
2020,66,Maodo Lo,BAY,28,24.3,9.0,3.1,7.6,.411,1.9,4.4,.426,0.8,1.1,.742,0.3,1.7,1.9,3.3,0.7,0.0,2.1,2.9,6-3,194
2020,70,Niels Giffey,BER,28,18.9,8.8,3.1,6.4,.486,1.1,2.4,.478,1.4,1.7,.851,0.8,1.5,2.3,1.3,0.8,0.3,1.0,2.5,6-7,205
2020,73,Jan Vesely,FEN,18,25.4,8.6,3.6,6.1,.591,0.0,0.1,.000,1.4,2.7,.521,1.7,2.6,4.3,1.6,1.3,0.7,1.2,2.9,6-11,240
2020,75,Kostas Papanikolaou,OLY,26,23.9,8.5,2.9,6.1,.481,1.4,3.5,.391,1.3,1.8,.708,0.4,3.2,3.6,1.5,1.4,0.3,1.9,1.8,6-8,225
2020,79,Elijah Bryant,MAC,27,19.8,8.4,3.4,6.9,.492,1.3,3.1,.417,0.3,0.5,.692,0.5,2.3,2.9,2.0,0.9,0.1,1.3,2.6,6-5,210
2020,82,Daniel Hackett,CSKA,23,20.1,8.3,2.8,6.7,.418,1.5,3.3,.442,1.3,1.6,.806,0.7,1.9,2.6,2.5,1.0,0.0,1.5,2.8,6-5,215
2020,83,Edgaras Ulanovas,ZAL,28,25.8,8.3,2.6,6.1,.427,0.9,2.4,.368,2.2,2.7,.813,1.3,2.1,3.3,2.0,0.4,0.1,1.3,1.9,6-6,192
2020,85,Rudy Fernandez,RMB,25,20.0,8.1,2.5,6.3,.392,2.1,5.0,.416,1.1,1.4,.771,0.3,1.7,2.0,2.0,1.0,0.1,0.6,1.1,6-6,185
2020,88,Nemanja Nedovic,MIL,17,16.5,7.9,2.4,6.5,.373,1.4,4.1,.343,1.7,2.1,.829,0.0,1.2,1.2,1.7,0.3,0.1,1.2,1.8,6-3,192
2020,91,John DiBartolomeo,MAC,12,13.5,7.8,2.5,5.0,.500,1.3,2.8,.471,1.5,1.6,.947,0.0,1.0,1.0,1.7,0.8,0.0,0.8,2.7,6-0,175
2020,92,Alberto Abalde,VAL,23,21.7,7.8,2.8,6.5,.427,0.7,2.3,.283,1.6,2.2,.720,1.4,2.6,4.0,1.7,0.5,0.0,0.8,1.3,6-7,215
2020,95,Johannes Voigtmann,CSKA,28,22.3,7.7,2.9,6.1,.474,1.5,3.6,.410,0.4,0.8,.571,1.2,4.0,5.2,1.5,0.6,0.4,1.1,2.4,6-11,228
2020,100,Sergio Llull,RMB,16,18.6,7.5,2.3,8.1,.287,1.3,4.6,.288,1.6,1.8,.893,0.2,1.0,1.2,3.5,0.6,0.1,1.7,2.0,6-3,190
2020,102,Fabien Causeur,RMB,25,16.3,7.5,3.0,5.4,.548,1.0,2.2,.473,0.5,0.8,.650,0.4,1.1,1.5,1.5,0.3,0.0,0.8,1.3,6-3,198
2020,104,Gabriel Deck,RMB,24,20.1,7.4,2.7,5.8,.464,0.3,1.1,.259,1.7,2.1,.820,0.8,2.4,3.2,1.5,0.3,0.1,0.7,1.3,6-8,232
2020,105,Theo Maledon,LYV,22,17.7,7.4,2.6,5.7,.456,0.8,2.2,.367,1.4,2.0,.689,0.2,1.6,1.8,3.1,0.3,0.1,1.9,2.9,6-4,175
2020,110,Edy Tavares,RMB,28,22.9,7.2,3.0,4.5,.680,0.0,0.0,.000,1.1,1.8,.653,2.2,4.9,7.1,0.8,0.6,2.2,1.0,2.2,7-3,265
2020,112,Luca Vildoza,BASK,16,23.1,7.1,2.6,6.9,.382,1.1,3.7,.288,0.8,0.8,1.000,0.3,1.7,1.9,3.2,1.1,0.4,1.9,2.4,6-3,190
2020,113,Sasha Vezenkov,OLY,26,13.6,7.0,2.6,4.8,.548,1.1,2.3,.459,0.8,1.0,.808,0.5,1.5,2.0,0.5,0.3,0.2,0.3,1.2,6-8,225
2020,115,Charles Lombahe-Kahudi,LYV,23,21.4,7.0,2.5,5.9,.430,1.0,2.7,.365,1.0,1.1,.846,0.8,2.1,2.9,0.8,0.5,0.1,0.7,2.4,6-5,183
2020,116,Sertac Sanli,EFE,21,11.7,7.0,2.8,4.3,.648,0.1,0.3,.286,1.2,1.6,.788,0.9,1.3,2.2,0.3,0.2,0.4,0.8,2.1,7-0,254
2020,118,George Papagiannis,PAN,27,17.5,6.9,3.1,5.1,.620,0.0,0.1,.000,0.6,0.9,.667,1.6,3.2,4.7,0.2,0.4,0.9,1.0,2.0,7-2,275
2020,119,Kevin Punter,OLY,11,18.4,6.8,2.5,8.2,.300,0.6,3.5,.179,1.3,1.8,.700,0.3,1.6,1.9,0.8,0.5,0.1,0.6,2.1,6-2,190
2020,122,Nikola Kalinic,FEN,26,22.9,6.6,2.2,5.2,.426,0.6,2.0,.314,1.5,1.8,.870,0.5,2.0,2.5,1.7,0.8,0.1,1.7,2.7,6-8,222
2020,124,Melih Mahmutoglu,FEN,21,17.2,6.5,2.4,5.1,.463,1.6,3.1,.508,0.2,0.2,.800,0.2,0.6,0.8,0.5,0.3,0.0,0.2,1.9,6-3,187
2020,128,Vanja Marinkovic,VAL,27,14.9,6.3,2.2,5.0,.437,0.9,2.6,.329,1.1,1.3,.833,0.2,0.8,1.0,0.4,0.4,0.0,1.0,1.3,6-6,194
2020,129,Nigel Hayes,ZAL,28,22.3,6.3,2.2,5.4,.404,1.0,2.8,.372,0.9,1.2,.758,1.1,2.4,3.5,1.0,0.4,0.2,0.5,1.9,6-8,254
2020,131,Joffrey Lauvergne,FEN,19,13.9,6.3,2.7,4.9,.543,0.1,0.4,.286,0.8,1.8,.441,0.7,2.0,2.7,0.8,0.2,0.2,0.8,1.1,6-11,260
2020,133,Dejan Davidovac,ZVE,24,18.8,6.2,2.0,4.5,.450,0.6,1.9,.326,1.5,1.8,.795,0.8,2.0,2.9,0.6,0.8,0.3,0.8,2.0,6-8,210
2020,141,Kostas Mitoglou,PAN,28,13.9,5.8,2.1,4.2,.508,0.3,1.0,.296,1.3,1.6,.761,1.5,2.2,3.7,0.5,0.9,0.3,0.6,2.0,6-10,245
2020,142,Youssoupha Fall,BASK,28,13.6,5.8,2.4,3.9,.615,0.0,0.0,.000,1.0,2.2,.452,2.3,2.6,4.8,0.1,0.2,0.6,1.3,2.5,7-3,271
2020,143,Edwin Jackson,LYV,17,20.2,5.8,1.9,7.1,.273,0.3,3.0,.098,1.6,2.0,.794,0.1,1.4,1.5,1.6,0.4,0.1,1.2,1.3,6-2,201
2020,145,Jake Cohen,MAC,21,13.6,5.7,2.2,4.0,.566,0.6,1.2,.500,0.6,0.9,.684,0.9,1.2,2.1,0.9,0.5,0.1,0.8,1.8,6-10,235
2020,154,Wade Baldwin IV,OLY,24,16.8,5.5,1.9,4.5,.422,0.3,1.3,.267,1.3,2.0,.633,0.3,1.5,1.8,1.8,0.5,0.0,1.5,2.3,6-4,220
2020,156,Joel Bolomboy,CSKA,27,16.9,5.4,2.0,4.2,.478,0.5,1.5,.325,1.0,1.3,.743,1.3,2.7,4.0,0.7,0.3,0.4,0.8,1.6,6-9,235
2020,163,Alex Abrines,FCB,25,14.8,5.2,1.8,3.9,.464,1.2,2.6,.462,0.4,0.5,.833,0.5,1.6,2.1,0.4,0.6,0.1,0.2,1.8,6-6,190
2020,167,Ognjen Dobric,ZVE,22,14.6,5.1,1.9,4.1,.467,0.7,1.9,.357,0.6,0.9,.684,0.6,1.1,1.7,0.9,0.8,0.1,0.5,1.2,6-6,198
2020,168,Nicolas Laprovittola,RMB,23,13.5,5.0,1.7,4.0,.418,0.6,2.0,.283,1.1,1.3,.867,0.3,1.1,1.4,3.0,0.3,0.0,1.7,1.8,6-4,180
2020,180,Usman Garuba,RMB,14,11.9,4.4,1.8,2.6,.676,0.1,0.4,.333,0.6,1.3,.500,1.1,1.8,2.9,0.4,0.9,0.3,0.5,1.4,6-8,229
2020,183,Alec Peters,EFE,27,13.7,4.2,1.4,2.6,.535,0.6,1.4,.405,0.8,1.0,.846,0.4,1.7,2.1,0.5,0.3,0.1,0.4,1.5,6-9,225
2020,188,Matthew Strazel,LYV,16,13.9,4.0,1.3,3.3,.396,0.8,1.8,.414,0.6,0.8,.769,0.1,0.6,0.7,1.6,0.2,0.0,1.2,1.7,6-0,178
2020,190,Branko Lazic,ZVE,25,16.2,3.9,1.6,3.8,.406,0.6,1.9,.292,0.2,0.4,.667,0.4,0.9,1.3,0.6,0.6,0.0,0.6,2.7,6-5,192
2020,195,Mathias Lessort,BAY,22,11.3,3.8,1.3,2.4,.528,0.0,0.0,.000,1.2,2.0,.600,1.1,1.1,2.2,0.5,0.5,0.5,1.1,1.9,6-9,250
2020,197,Tim Schneider,BER,16,11.8,3.8,1.3,3.2,.392,0.9,2.4,.368,0.4,0.5,.750,0.4,0.8,1.3,0.3,0.3,0.1,0.5,1.6,6-9,222
2020,209,Achille Polonara,BASK,27,12.5,3.1,1.1,3.3,.326,0.3,1.5,.225,0.7,1.0,.643,1.1,1.6,2.8,0.2,0.6,0.4,0.3,1.1,6-8,198
