,player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Height,Weight
113,Darius Miller,10.944444444444445,1.2222222222222223,2.6666666666666665,0.458,0.9444444444444444,2.3333333333333335,0.405,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.2222222222222223,1.3333333333333333,1.1666666666666667,0.7222222222222222,0.2777777777777778,0.4444444444444444,0.7222222222222222,4.055555555555555,78.0,233.4
114,Darius Morris,7.868421052631579,0.9473684210526315,2.789473684210526,0.34,0.18421052631578946,0.868421052631579,0.212,0.10526315789473684,0.23684210526315788,0.444,0.18421052631578946,0.5263157894736842,0.7105263157894737,1.263157894736842,0.23684210526315788,0.0,0.5526315789473685,0.5263157894736842,2.1842105263157894,75.25,190.0
115,Darnell Jackson,8.23728813559322,1.305084745762712,2.6779661016949152,0.487,0.05084745762711865,0.1864406779661017,0.273,0.5084745762711864,0.8305084745762712,0.612,0.8305084745762712,0.7627118644067796,1.5932203389830508,0.23728813559322035,0.2033898305084746,0.05084745762711865,0.3898305084745763,1.0338983050847457,3.169491525423729,79.0,240.5
116,Darrell Arthur,7.421052631578948,1.1578947368421053,2.473684210526316,0.468,0.42105263157894735,1.2105263157894737,0.348,0.10526315789473684,0.15789473684210525,0.667,0.15789473684210525,0.631578947368421,0.7894736842105263,0.47368421052631576,0.42105263157894735,0.15789473684210525,0.7894736842105263,1.1578947368421053,2.8421052631578947,79.5,216.0
117,David Noel,11.647058823529411,0.9558823529411765,2.6029411764705883,0.367,0.25,0.7794117647058824,0.321,0.5441176470588235,0.6323529411764706,0.86,0.6176470588235294,1.1911764705882353,1.8088235294117647,0.9558823529411765,0.36764705882352944,0.1323529411764706,0.5882352941176471,1.1323529411764706,2.7058823529411766,76.5,223.0
118,David West,13.684931506849315,2.958904109589041,5.178082191780822,0.571,0.0410958904109589,0.1095890410958904,0.375,0.821917808219178,1.082191780821918,0.759,0.8767123287671232,2.3835616438356166,3.26027397260274,1.8904109589041096,0.6438356164383562,1.0273972602739727,1.095890410958904,1.643835616438356,6.780821917808219,80.25,226.0
119,Davon Reed,7.953488372093023,0.6511627906976745,1.9534883720930232,0.333,0.3953488372093023,1.069767441860465,0.37,0.37209302325581395,0.5581395348837209,0.667,0.23255813953488372,1.1395348837209303,1.372093023255814,0.5348837209302325,0.3488372093023256,0.09302325581395349,0.46511627906976744,0.9069767441860465,2.0697674418604652,76.5,206.2
120,DeAndre Liggins,12.482758620689655,0.6896551724137931,1.8275862068965518,0.377,0.3275862068965517,0.9137931034482759,0.358,0.034482758620689655,0.08620689655172414,0.4,0.1206896551724138,1.1724137931034482,1.293103448275862,0.8275862068965517,0.6379310344827587,0.2413793103448276,0.3448275862068966,1.396551724137931,1.7413793103448276,77.0,202.2
121,DeJuan Blair,7.517241379310345,0.9655172413793104,2.3448275862068964,0.412,0.0,0.034482758620689655,0.0,0.1724137931034483,0.4482758620689655,0.385,0.6896551724137931,1.2758620689655173,1.9655172413793103,0.3793103448275862,0.27586206896551724,0.06896551724137931,0.5172413793103449,1.8275862068965518,2.103448275862069,77.25,276.6
122,DeMar DeRozan,35.957142857142856,8.085714285714285,16.757142857142856,0.483,1.1142857142857143,3.2285714285714286,0.345,4.828571428571428,5.571428571428571,0.867,0.6142857142857143,3.2714285714285714,3.8857142857142857,4.357142857142857,0.8857142857142857,0.4,1.3857142857142857,1.9428571428571428,22.114285714285714,77.5,211.2
